date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:11	124/124	---MCZ	200	added ('OK')	text/plain	etag:W/%225c6483c6-7c%22	https://getbootstrap.com/robots.txt		(from )
21:42:11	267511/267511	---MCZ	200	added ('OK')	text/html	etag:W/%225c6483c6-414f7%22	https://getbootstrap.com/docs/3.3/components/	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/components/index.html	(from )
21:42:13	22106/22106	---MCZ	200	added ('OK')	text/css	etag:W/%225c6483c6-565a%22	https://getbootstrap.com/docs/3.3/assets/css/docs.min.css	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/assets/css/docs.min.css	(from https://getbootstrap.com/docs/3.3/components/)
21:42:13	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%225c6483c6-1d970%22	https://getbootstrap.com/docs/3.3/dist/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/dist/css/bootstrap.min.css	(from https://getbootstrap.com/docs/3.3/components/)
21:42:14	2130/2130	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6483c6-852%22	https://getbootstrap.com/docs/3.3/assets/js/ie-emulation-modes-warning.js	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/assets/js/ie-emulation-modes-warning.js	(from https://getbootstrap.com/docs/3.3/components/)
21:42:15	6140/6140	---M--	200	added ('OK')	image/png	etag:%225c6483c6-17fc%22	https://getbootstrap.com/apple-touch-icon.png	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/apple-touch-icon.png	(from https://getbootstrap.com/docs/3.3/components/)
21:42:17	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	http://www.google-analytics.com/analytics.js	/storage/emulated/0/HTTrack/Websites/bootstrap/www.google-analytics.com/analytics.js	(from https://getbootstrap.com/docs/3.3/components/)
21:42:18	37957/37957	---MCZ	200	added ('OK')	application/javascript	etag:W/%229445-582d218309182%22	https://cdn.carbonads.com/carbon.js?serve=CKYIKKJL&placement=getbootstrapcom	/storage/emulated/0/HTTrack/Websites/bootstrap/cdn.carbonads.com/carbon7e4a.js	(from https://getbootstrap.com/docs/3.3/components/)
21:42:19	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	/storage/emulated/0/HTTrack/Websites/bootstrap/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://getbootstrap.com/docs/3.3/components/)
21:42:21	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6483c6-90b5%22	https://getbootstrap.com/docs/3.3/dist/js/bootstrap.min.js	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/dist/js/bootstrap.min.js	(from https://getbootstrap.com/docs/3.3/components/)
21:42:21	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6483c6-17b8b%22	https://getbootstrap.com/docs/3.3/assets/js/vendor/jquery.min.js	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/assets/js/vendor/jquery.min.js	(from https://getbootstrap.com/docs/3.3/components/)
21:42:23	641/641	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6483c6-281%22	https://getbootstrap.com/docs/3.3/assets/js/ie10-viewport-bug-workaround.js	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/assets/js/ie10-viewport-bug-workaround.js	(from https://getbootstrap.com/docs/3.3/components/)
21:42:23	47169/47169	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6483c6-b841%22	https://getbootstrap.com/docs/3.3/assets/js/docs.min.js	/storage/emulated/0/HTTrack/Websites/bootstrap/getbootstrap.com/docs/3.3/assets/js/docs.min.js	(from https://getbootstrap.com/docs/3.3/components/)
